match_number,team,player_name,career_ipl_matches_before_match
13,Mumbai Indians,RD Rickelton,16
13,Mumbai Indians,RG Sharma,274
13,Mumbai Indians,SA Yadav,168
13,Mumbai Indians,Tilak Varma,56
13,Mumbai Indians,HH Pandya,153
13,Mumbai Indians,Naman Dhir,25
13,Mumbai Indians,SE Rutherford,25
13,Mumbai Indians,SN Thakur,107
13,Mumbai Indians,DL Chahar,96
13,Mumbai Indians,TA Boult,120
13,Mumbai Indians,JJ Bumrah,147
14,Gujarat Titans,M Shahrukh Khan,57
14,Gujarat Titans,B Sai Sudharsan,42
14,Gujarat Titans,Shubman Gill,119
14,Gujarat Titans,JC Buttler,123
14,Gujarat Titans,Washington Sundar,68
14,Gujarat Titans,GD Phillips,10
14,Gujarat Titans,R Tewatia,110
14,Gujarat Titans,Rashid Khan,138
14,Gujarat Titans,K Rabada,86
14,Gujarat Titans,Mohammed Siraj,110
14,Gujarat Titans,Ashok Sharma,2
14,Gujarat Titans,M Prasidh Krishna,68
14,Delhi Capitals,Mukesh Kumar,34
14,Delhi Capitals,P Nissanka,2
14,Delhi Capitals,KL Rahul,148
14,Delhi Capitals,N Rana,120
14,Delhi Capitals,Sameer Rizvi,16
14,Delhi Capitals,DA Miller,143
14,Delhi Capitals,AR Patel,165
14,Delhi Capitals,T Stubbs,35
14,Delhi Capitals,V Nigam,16
14,Delhi Capitals,Kuldeep Yadav,101
14,Delhi Capitals,L Ngidi,18
14,Delhi Capitals,T Natarajan,66
15,Kolkata Knight Riders,VG Arora,35
15,Kolkata Knight Riders,AM Rahane,201
15,Kolkata Knight Riders,FH Allen,3
15,Kolkata Knight Riders,A Raghuvanshi,25
15,Kolkata Knight Riders,C Green,32
15,Kolkata Knight Riders,RK Singh,61
15,Kolkata Knight Riders,R Powell,29
15,Kolkata Knight Riders,Ramandeep Singh,33
15,Kolkata Knight Riders,AS Roy,14
15,Kolkata Knight Riders,SP Narine,190
15,Kolkata Knight Riders,Navdeep Saini,32
15,Kolkata Knight Riders,Kartik Tyagi,23
15,Lucknow Super Giants,M Siddharth,6
15,Lucknow Super Giants,MR Marsh,57
15,Lucknow Super Giants,AK Markram,59
15,Lucknow Super Giants,RR Pant,127
15,Lucknow Super Giants,A Badoni,58
15,Lucknow Super Giants,N Pooran,92
15,Lucknow Super Giants,Abdul Samad,65
15,Lucknow Super Giants,MD Choudhary,2
15,Lucknow Super Giants,Mohammed Shami,121
15,Lucknow Super Giants,Avesh Khan,76
15,Lucknow Super Giants,DS Rathi,14
15,Lucknow Super Giants,Prince Yadav,8
16,Royal Challengers Bengaluru,PD Salt,36
16,Royal Challengers Bengaluru,V Kohli,268
16,Royal Challengers Bengaluru,D Padikkal,76
16,Royal Challengers Bengaluru,RM Patidar,44
16,Royal Challengers Bengaluru,KH Pandya,144
16,Royal Challengers Bengaluru,JM Sharma,57
16,Royal Challengers Bengaluru,TH David,52
16,Royal Challengers Bengaluru,R Shepherd,20
16,Royal Challengers Bengaluru,VR Iyer,61
16,Royal Challengers Bengaluru,B Kumar,192
16,Royal Challengers Bengaluru,Abhinandan Singh,2
16,Royal Challengers Bengaluru,JR Hazlewood,39
16,Rajasthan Royals,Sandeep Sharma,139
16,Rajasthan Royals,YBK Jaiswal,69
16,Rajasthan Royals,V Suryavanshi,10
16,Rajasthan Royals,Dhruv Jurel,44
16,Rajasthan Royals,SO Hetmyer,89
16,Rajasthan Royals,R Parag,86
16,Rajasthan Royals,RA Jadeja,256
16,Rajasthan Royals,D Ferreira,5
16,Rajasthan Royals,Ravi Bishnoi,80
16,Rajasthan Royals,JC Archer,55
16,Rajasthan Royals,N Burger,8
16,Rajasthan Royals,Brijesh Sharma,1
17,Sunrisers Hyderabad,JD Unadkat,115
