match_number,team,player_name,batting_position_if_available,captain_flag,wicketkeeper_flag,is_impact_player,playing_order
9,Gujarat Titans,JC Buttler,3,0,1,0,4
9,Gujarat Titans,GD Phillips,4,0,0,0,5
9,Gujarat Titans,Washington Sundar,5,0,0,0,6
9,Gujarat Titans,R Tewatia,6,0,0,0,7
9,Gujarat Titans,M Shahrukh Khan,7,0,0,0,8
9,Gujarat Titans,Rashid Khan,8,0,0,0,9
9,Gujarat Titans,K Rabada,9,0,0,0,10
9,Gujarat Titans,Ashok Sharma,10,0,0,0,11
9,Gujarat Titans,Mohammed Siraj,,0,0,1,12
10,Sunrisers Hyderabad,E Malinga,,0,0,0,1
10,Sunrisers Hyderabad,TM Head,1,0,0,0,2
10,Sunrisers Hyderabad,Abhishek Sharma,2,0,0,0,3
10,Sunrisers Hyderabad,Ishan Kishan,3,1,1,0,4
10,Sunrisers Hyderabad,LS Livingstone,4,0,0,0,5
10,Sunrisers Hyderabad,H Klaasen,5,0,1,0,6
10,Sunrisers Hyderabad,Nithish Kumar Reddy,6,0,0,0,7
10,Sunrisers Hyderabad,Aniket Verma,7,0,0,0,8
10,Sunrisers Hyderabad,Harsh Dubey,8,0,0,0,9
10,Sunrisers Hyderabad,Shivang Kumar,9,0,0,0,10
10,Sunrisers Hyderabad,HV Patel,10,0,0,0,11
10,Sunrisers Hyderabad,JD Unadkat,,0,0,1,12
10,Lucknow Super Giants,Mohammed Shami,,0,0,0,1
10,Lucknow Super Giants,AK Markram,1,0,0,0,2
10,Lucknow Super Giants,MR Marsh,2,0,0,0,3
10,Lucknow Super Giants,RR Pant,3,0,0,0,4
10,Lucknow Super Giants,A Badoni,4,0,0,0,5
10,Lucknow Super Giants,N Pooran,5,0,0,0,6
10,Lucknow Super Giants,Abdul Samad,6,0,0,0,7
10,Lucknow Super Giants,MD Choudhary,7,0,0,0,8
10,Lucknow Super Giants,M Siddharth,,0,0,0,9
10,Lucknow Super Giants,Avesh Khan,,0,0,0,10
10,Lucknow Super Giants,DS Rathi,,0,0,0,11
10,Lucknow Super Giants,Prince Yadav,,0,0,1,12
11,Royal Challengers Bengaluru,Suyash Sharma,,0,0,0,1
11,Royal Challengers Bengaluru,PD Salt,1,0,0,0,2
11,Royal Challengers Bengaluru,V Kohli,2,0,0,0,3
11,Royal Challengers Bengaluru,D Padikkal,3,0,0,0,4
11,Royal Challengers Bengaluru,RM Patidar,4,1,0,0,5
11,Royal Challengers Bengaluru,TH David,5,0,0,0,6
11,Royal Challengers Bengaluru,JM Sharma,,0,1,0,7
11,Royal Challengers Bengaluru,R Shepherd,,0,0,0,8
11,Royal Challengers Bengaluru,KH Pandya,,0,0,0,9
11,Royal Challengers Bengaluru,B Kumar,,0,0,0,10
11,Royal Challengers Bengaluru,Abhinandan Singh,,0,0,0,11
11,Royal Challengers Bengaluru,JA Duffy,,0,0,1,12
11,Chennai Super Kings,KK Ahmed,,0,0,0,1
11,Chennai Super Kings,SV Samson,1,0,1,0,2
11,Chennai Super Kings,RD Gaikwad,2,1,0,0,3
11,Chennai Super Kings,A Mhatre,3,0,0,0,4
11,Chennai Super Kings,SN Khan,4,0,0,0,5
11,Chennai Super Kings,Kartik Sharma,5,0,0,0,6
11,Chennai Super Kings,S Dube,6,0,0,0,7
11,Chennai Super Kings,PR Veer,7,0,0,0,8
11,Chennai Super Kings,J Overton,8,0,0,0,9
11,Chennai Super Kings,A Kamboj,9,0,0,0,10
11,Chennai Super Kings,Noor Ahmad,10,0,0,0,11
11,Chennai Super Kings,MJ Henry,11,0,0,1,12
12,Kolkata Knight Riders,AM Rahane,1,1,0,0,1
12,Kolkata Knight Riders,FH Allen,2,0,0,0,2
12,Kolkata Knight Riders,C Green,3,0,0,0,3
12,Kolkata Knight Riders,A Raghuvanshi,4,0,0,0,4
12,Kolkata Knight Riders,R Powell,,0,0,0,5
12,Kolkata Knight Riders,RK Singh,,0,0,0,6
12,Kolkata Knight Riders,Ramandeep Singh,,0,0,0,7
12,Kolkata Knight Riders,AS Roy,,0,0,0,8
12,Kolkata Knight Riders,Navdeep Saini,,0,0,0,9
12,Kolkata Knight Riders,VG Arora,,0,0,0,10
12,Kolkata Knight Riders,Kartik Tyagi,,0,0,0,11
